"Subject" "Activity" "CalcType" "Domain" "AccelType" "Device" "Magnitude" "Jerk" "Axis" "Value"
1 "WALKING" "Mean" "Freq" "Body" "Accelerometer" FALSE FALSE "X" -0.259033685185447
1 "WALKING" "Mean" "Freq" "Body" "Accelerometer" FALSE FALSE "Y" 0.0663825003136888
1 "WALKING" "Mean" "Freq" "Body" "Accelerometer" FALSE FALSE "Z" -0.129654124167003
1 "WALKING" "Mean" "Freq" "Body" "Accelerometer" FALSE TRUE "X" -0.256924377482579
1 "WALKING" "Mean" "Freq" "Body" "Accelerometer" FALSE TRUE "Y" -0.240759823443445
1 "WALKING" "Mean" "Freq" "Body" "Accelerometer" FALSE TRUE "Z" -0.34489426839206
1 "WALKING" "Mean" "Freq" "Body" "Accelerometer" TRUE FALSE NA -0.0161870917162824
1 "WALKING" "Mean" "Freq" "Body" "Accelerometer" TRUE TRUE NA -0.0557280160044957
1 "WALKING" "Mean" "Freq" NA "Gyroscope" FALSE FALSE "X" -0.145766683827867
1 "WALKING" "Mean" "Freq" NA "Gyroscope" FALSE FALSE "Y" -0.144696186206052
1 "WALKING" "Mean" "Freq" NA "Gyroscope" FALSE FALSE "Z" -0.11346170233183
1 "WALKING" "Mean" "Freq" NA "Gyroscope" TRUE FALSE NA -0.041835613305245
1 "WALKING" "Mean" "Freq" NA "Gyroscope" TRUE TRUE NA -0.143503768288761
1 "WALKING" "Mean" "Time" "Body" "Accelerometer" FALSE FALSE "X" 0.277915250489914
1 "WALKING" "Mean" "Time" "Body" "Accelerometer" FALSE FALSE "Y" -0.0175368209698646
1 "WALKING" "Mean" "Time" "Body" "Accelerometer" FALSE FALSE "Z" -0.110151183691643
1 "WALKING" "Mean" "Time" "Body" "Accelerometer" FALSE TRUE "X" 0.0781209627960519
1 "WALKING" "Mean" "Time" "Body" "Accelerometer" FALSE TRUE "Y" 0.00796398044005764
1 "WALKING" "Mean" "Time" "Body" "Accelerometer" FALSE TRUE "Z" -0.0081170152343804
1 "WALKING" "Mean" "Time" "Body" "Accelerometer" TRUE FALSE NA -0.15307230912853
1 "WALKING" "Mean" "Time" "Body" "Accelerometer" TRUE TRUE NA -0.206643789985591
